frame,timestamp_sec,player,shot
295,11.8,2,BACKHAND
295,11.8,3,FOREHAND
296,11.84,1,SMASH
296,11.84,2,BACKHAND
296,11.84,3,FOREHAND
297,11.88,1,BACKHAND
297,11.88,2,BACKHAND
297,11.88,3,FOREHAND
298,11.92,1,BACKHAND
298,11.92,2,BACKHAND
299,11.96,1,BACKHAND
299,11.96,2,BACKHAND
300,12.0,1,BACKHAND
300,12.0,2,FOREHAND
301,12.04,1,BACKHAND
301,12.04,2,FOREHAND
302,12.08,1,FOREHAND
302,12.08,2,FOREHAND
303,12.12,1,FOREHAND
303,12.12,2,FOREHAND
303,12.12,3,FOREHAND
304,12.16,1,FOREHAND
304,12.16,2,FOREHAND
305,12.2,1,BACKHAND
305,12.2,2,FOREHAND
306,12.24,1,FOREHAND
306,12.24,2,FOREHAND
307,12.28,1,BACKHAND
307,12.28,2,FOREHAND
308,12.32,1,BACKHAND
308,12.32,2,FOREHAND
309,12.36,1,BACKHAND
309,12.36,2,FOREHAND
310,12.4,1,BACKHAND
310,12.4,2,FOREHAND
311,12.44,1,BACKHAND
311,12.44,2,FOREHAND
312,12.48,1,BACKHAND
312,12.48,2,FOREHAND
313,12.52,1,BACKHAND
313,12.52,2,FOREHAND
314,12.56,1,BACKHAND
314,12.56,2,FOREHAND
315,12.6,1,BACKHAND
315,12.6,2,FOREHAND
316,12.64,1,BACKHAND
316,12.64,2,FOREHAND
317,12.68,1,FOREHAND
317,12.68,2,FOREHAND
318,12.72,1,BACKHAND
318,12.72,2,FOREHAND
319,12.76,1,BACKHAND
319,12.76,2,FOREHAND
320,12.8,1,BACKHAND
320,12.8,2,FOREHAND
320,12.8,3,FOREHAND
321,12.84,1,BACKHAND
321,12.84,2,FOREHAND
322,12.88,1,BACKHAND
322,12.88,2,FOREHAND
323,12.92,1,BACKHAND
323,12.92,2,FOREHAND
323,12.92,3,FOREHAND
324,12.96,1,BACKHAND
324,12.96,2,FOREHAND
325,13.0,1,BACKHAND
325,13.0,2,FOREHAND
326,13.04,1,BACKHAND
326,13.04,2,FOREHAND
327,13.08,1,BACKHAND
327,13.08,2,BACKHAND
328,13.12,1,BACKHAND
328,13.12,2,BACKHAND
329,13.16,1,BACKHAND
329,13.16,2,BACKHAND
330,13.2,1,BACKHAND
330,13.2,2,BACKHAND
331,13.24,1,FOREHAND
331,13.24,2,BACKHAND
332,13.28,1,FOREHAND
332,13.28,2,BACKHAND
333,13.32,1,FOREHAND
333,13.32,2,BACKHAND
334,13.36,1,FOREHAND
334,13.36,2,BACKHAND
335,13.4,1,FOREHAND
335,13.4,2,BACKHAND
336,13.44,1,FOREHAND
336,13.44,2,BACKHAND
337,13.48,1,BACKHAND
337,13.48,2,BACKHAND
338,13.52,1,BACKHAND
338,13.52,2,BACKHAND
339,13.56,1,BACKHAND
339,13.56,2,BACKHAND
340,13.6,1,FOREHAND
340,13.6,2,BACKHAND
341,13.64,1,FOREHAND
341,13.64,2,BACKHAND
342,13.68,1,BACKHAND
342,13.68,2,BACKHAND
343,13.72,1,BACKHAND
343,13.72,2,BACKHAND
344,13.76,1,BACKHAND
344,13.76,2,BACKHAND
345,13.8,1,BACKHAND
345,13.8,2,BACKHAND
346,13.84,1,BACKHAND
346,13.84,2,BACKHAND
347,13.88,1,BACKHAND
347,13.88,2,BACKHAND
348,13.92,1,BACKHAND
348,13.92,2,BACKHAND
349,13.96,1,BACKHAND
349,13.96,2,FOREHAND
350,14.0,1,BACKHAND
350,14.0,2,FOREHAND
351,14.04,1,BACKHAND
351,14.04,2,BACKHAND
352,14.08,1,BACKHAND
352,14.08,2,BACKHAND
353,14.12,1,BACKHAND
353,14.12,2,BACKHAND
354,14.16,1,BACKHAND
354,14.16,2,BACKHAND
355,14.2,1,BACKHAND
355,14.2,2,BACKHAND
356,14.24,1,BACKHAND
356,14.24,2,BACKHAND
357,14.28,1,BACKHAND
357,14.28,2,BACKHAND
358,14.32,1,BACKHAND
358,14.32,2,BACKHAND
359,14.36,1,BACKHAND
359,14.36,2,BACKHAND
360,14.4,1,BACKHAND
360,14.4,2,BACKHAND
361,14.44,1,BACKHAND
361,14.44,2,FOREHAND
362,14.48,1,SMASH
362,14.48,2,FOREHAND
363,14.52,1,SMASH
363,14.52,2,BACKHAND
364,14.56,1,SMASH
364,14.56,2,BACKHAND
364,14.56,3,SMASH
365,14.6,1,SMASH
365,14.6,2,BACKHAND
365,14.6,3,SMASH
366,14.64,1,SMASH
366,14.64,2,BACKHAND
366,14.64,3,SMASH
367,14.68,1,SMASH
367,14.68,2,BACKHAND
367,14.68,3,SMASH
368,14.72,1,SMASH
368,14.72,2,BACKHAND
368,14.72,3,SMASH
369,14.76,1,SMASH
369,14.76,2,FOREHAND
369,14.76,3,BACKHAND
370,14.8,1,SMASH
370,14.8,2,FOREHAND
370,14.8,3,BACKHAND
371,14.84,1,BACKHAND
371,14.84,2,FOREHAND
371,14.84,3,BACKHAND
372,14.88,1,BACKHAND
372,14.88,2,BACKHAND
373,14.92,1,BACKHAND
373,14.92,2,BACKHAND
374,14.96,1,BACKHAND
374,14.96,2,BACKHAND
375,15.0,1,BACKHAND
375,15.0,2,BACKHAND
376,15.04,1,FOREHAND
376,15.04,2,FOREHAND
376,15.04,3,FOREHAND
377,15.08,1,FOREHAND
377,15.08,2,FOREHAND
377,15.08,3,FOREHAND
378,15.12,1,FOREHAND
378,15.12,2,FOREHAND
378,15.12,3,FOREHAND
379,15.16,1,FOREHAND
379,15.16,2,FOREHAND
380,15.2,1,FOREHAND
380,15.2,2,FOREHAND
381,15.24,1,FOREHAND
381,15.24,2,FOREHAND
382,15.28,1,FOREHAND
382,15.28,2,FOREHAND
